index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024,Smogon_VGC_Usage_2014,Smogon_VGC_Usage_2015,Smogon_VGC_Usage_2016,Smogon_VGC_Usage_2017,Smogon_VGC_Usage_2018,Smogon_VGC_Usage_2019,Smogon_VGC_Usage_2020,Smogon_VGC_Usage_2021,Worlds_VGC_Usage_2024_Numeric
222,corsola,water,rock,hustle,natural-cure,regenerator,65,55,95,65,95,35,410,False,False,generation-ii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,0.0,0.0,0.0,NoUsage,0.0,
222,corsola-galar,ghost,No_type,weak-armor,No_ability,cursed-body,60,55,100,65,100,30,410,False,False,generation-ii,0.00316,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.37392,0.02376,
223,remoraid,water,No_type,hustle,sniper,moody,35,65,35,65,35,65,300,False,False,generation-ii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,
224,octillery,water,No_type,suction-cups,sniper,moody,75,105,75,105,75,45,480,False,False,generation-ii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.18512,0.00373,0.0,NoUsage,0.00012,1e-05,0.07123,0.00021,
225,delibird,ice,flying,vital-spirit,hustle,insomnia,45,55,45,65,45,75,330,False,False,generation-ii,0.0,0.01117,0.0,NoUsage,NoUsage,NoUsage,0.02923,0.011,0.0,3e-05,0.0,2e-05,0.01956,0.02101,
226,mantine,water,flying,swift-swim,water-absorb,water-veil,85,40,70,80,140,70,485,False,False,generation-ii,0.01735,NoUsage,NoUsage,0.04,NoUsage,NoUsage,0.1037,0.01361,0.0,NoUsage,0.0001,0.00317,0.09977,0.01056,
227,skarmory,steel,flying,keen-eye,sturdy,weak-armor,65,80,140,40,70,70,465,False,False,generation-ii,0.00017,NoUsage,0.00795,NoUsage,NoUsage,NoUsage,0.02426,0.05184,0.0084,0.0,0.01618,3e-05,NoUsage,0.00046,
228,houndour,dark,fire,early-bird,flash-fire,unnerve,45,60,30,80,50,65,330,False,False,generation-ii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
229,houndoom,dark,fire,early-bird,flash-fire,unnerve,75,90,50,110,80,95,500,False,False,generation-ii,NoUsage,0.00433,0.00058,NoUsage,NoUsage,NoUsage,0.16086,0.00065,0.0,NoUsage,0.0,0.0,NoUsage,NoUsage,
229,houndoom-mega,dark,fire,solar-power,No_ability,None ,75,90,90,140,90,115,600,False,False,generation-ii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.05061,0.05551,NoUsage,0.06836,0.00293,NoUsage,NoUsage,
230,kingdra,water,dragon,swift-swim,sniper,damp,75,95,95,95,95,85,540,False,False,generation-ii,1.5165,NoUsage,0.22696,0.23,NoUsage,0.09,1.6019,2.34525,0.0141,NoUsage,6.59302,0.01276,NoUsage,1.27251,0.09
231,phanpy,ground,No_type,pickup,No_ability,sand-veil,90,60,60,40,40,40,330,False,False,generation-ii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
232,donphan,ground,No_type,sturdy,No_ability,sand-veil,90,120,120,60,60,50,500,False,False,generation-ii,NoUsage,0.01344,0.00062,NoUsage,NoUsage,NoUsage,NoUsage,0.01703,0.0,NoUsage,0.00085,0.0,NoUsage,NoUsage,
233,porygon2,normal,No_type,trace,download,analytic,85,80,90,105,95,60,515,False,False,generation-ii,7.25008,NoUsage,2.25316,13.21,NoUsage,13.72,NoUsage,2.05426,0.00972,45.01757,1.55249,0.59108,NoUsage,10.87119,13.72
234,stantler,normal,No_type,intimidate,frisk,sap-sipper,73,95,62,85,65,85,465,False,False,generation-ii,NoUsage,0.01101,0.00425,NoUsage,NoUsage,NoUsage,NoUsage,0.01506,0.0,NoUsage,0.0039,0.00029,NoUsage,NoUsage,
235,smeargle,normal,No_type,own-tempo,technician,moody,55,20,35,20,45,75,250,False,False,generation-ii,NoUsage,NoUsage,1.24201,NoUsage,NoUsage,0.2,6.61152,3.36811,57.6892,1.3073,0.47963,2.97628,NoUsage,NoUsage,0.2
236,tyrogue,fighting,No_type,guts,steadfast,vital-spirit,35,35,35,35,35,35,210,False,False,generation-ii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,
237,hitmontop,fighting,No_type,intimidate,technician,steadfast,50,95,95,35,110,70,455,False,False,generation-ii,0.44831,NoUsage,0.27462,0.14,NoUsage,0.04,NoUsage,0.69105,8.92895,NoUsage,0.23736,0.46481,3.07471,0.2937,0.04
238,smoochum,ice,psychic,oblivious,forewarn,hydration,45,30,15,85,65,65,305,False,False,generation-ii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.00113,NoUsage,NoUsage,NoUsage,
239,elekid,electric,No_type,static,No_ability,vital-spirit,45,63,37,65,55,95,360,False,False,generation-ii,0.0,NoUsage,0.0,NoUsage,NoUsage,0.04,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,0.04
240,magby,fire,No_type,flame-body,No_ability,vital-spirit,45,75,37,70,55,83,365,False,False,generation-ii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
241,miltank,normal,No_type,thick-fat,scrappy,sap-sipper,95,80,105,40,70,100,490,False,False,generation-ii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.04024,0.00395,0.0,0.00014,0.00356,0.0,NoUsage,6e-05,
242,blissey,normal,No_type,natural-cure,serene-grace,healer,255,10,10,75,135,55,540,False,False,generation-ii,0.00243,0.00559,0.00862,NoUsage,NoUsage,NoUsage,NoUsage,0.1508,2.85083,0.00112,0.00029,0.00454,NoUsage,0.00394,
243,raikou,electric,No_type,pressure,No_ability,inner-focus,90,85,75,115,100,115,580,True,False,generation-ii,0.15819,NoUsage,0.15887,0.19,NoUsage,NoUsage,NoUsage,1.14448,0.07214,NoUsage,0.00476,0.00078,NoUsage,0.45101,
244,entei,fire,No_type,pressure,No_ability,inner-focus,115,115,85,90,75,100,580,True,False,generation-ii,1.32902,NoUsage,12.61883,0.58,NoUsage,NoUsage,NoUsage,7.04061,0.00281,NoUsage,0.08217,0.0,NoUsage,2.20656,
245,suicune,water,No_type,pressure,No_ability,inner-focus,100,75,115,90,115,85,580,True,False,generation-ii,1.45767,NoUsage,0.66491,0.46,NoUsage,NoUsage,NoUsage,2.44414,0.03218,NoUsage,0.83335,0.15456,NoUsage,0.51037,
246,larvitar,rock,ground,guts,No_ability,sand-veil,50,64,50,45,50,41,300,False,False,generation-ii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,8e-05,NoUsage,
247,pupitar,rock,ground,shed-skin,No_ability,None ,70,84,70,65,70,51,410,False,False,generation-ii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,0.00022,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,
248,tyranitar,rock,dark,sand-stream,No_ability,unnerve,100,134,110,95,100,61,600,False,False,generation-ii,0.09196,5.91237,1.83539,0.23,1.01,5.43,31.22996,9.55797,0.26048,NoUsage,4.3353,0.00158,20.00872,0.77243,5.43
248,tyranitar-mega,rock,dark,sand-stream,No_ability,None ,100,164,150,95,120,71,700,False,False,generation-ii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.44821,0.48222,NoUsage,5.07426,0.00186,NoUsage,NoUsage,
249,lugia,psychic,flying,pressure,No_ability,multiscale,106,90,130,90,154,110,680,True,False,generation-ii,0.62118,NoUsage,0.26919,0.42,NoUsage,NoUsage,NoUsage,NoUsage,0.04676,NoUsage,NoUsage,0.28996,NoUsage,0.17165,
250,ho-oh,fire,flying,pressure,No_ability,regenerator,106,130,90,110,154,90,680,True,False,generation-ii,1.36268,NoUsage,0.68097,0.42,NoUsage,NoUsage,NoUsage,NoUsage,0.25687,NoUsage,NoUsage,0.65525,NoUsage,0.21387,
251,celebi,psychic,grass,natural-cure,No_ability,None ,100,100,100,100,100,100,600,False,True,generation-ii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
252,treecko,grass,No_type,overgrow,No_ability,unburden,40,45,35,65,55,70,310,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,1e-05,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,
253,grovyle,grass,No_type,overgrow,No_ability,unburden,50,65,45,85,65,95,405,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,
254,sceptile,grass,No_type,overgrow,No_ability,unburden,70,85,65,105,85,120,530,False,False,generation-iii,0.00277,NoUsage,0.10106,NoUsage,NoUsage,NoUsage,NoUsage,0.00639,0.00664,NoUsage,0.04433,3e-05,NoUsage,0.04662,
254,sceptile-mega,grass,dragon,lightning-rod,No_ability,None ,70,110,75,145,85,145,630,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.68935,0.03155,NoUsage,0.08339,0.04279,NoUsage,NoUsage,
255,torchic,fire,No_type,blaze,No_ability,speed-boost,45,60,40,70,50,45,310,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
256,combusken,fire,fighting,blaze,No_ability,speed-boost,60,85,60,85,60,55,405,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.00029,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,
257,blaziken,fire,fighting,blaze,No_ability,speed-boost,80,120,70,110,70,80,530,False,False,generation-iii,0.00474,NoUsage,0.12005,NoUsage,NoUsage,0.6,NoUsage,3.3275,0.05565,NoUsage,0.14767,0.00011,NoUsage,0.22608,0.6
257,blaziken-mega,fire,fighting,speed-boost,No_ability,None ,80,160,80,130,80,100,630,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.29327,0.005,NoUsage,0.4909,0.1533,NoUsage,NoUsage,
258,mudkip,water,No_type,torrent,No_ability,damp,50,70,50,50,50,40,310,False,False,generation-iii,0.0,NoUsage,0.0,0.04,NoUsage,NoUsage,NoUsage,1e-05,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
259,marshtomp,water,ground,torrent,No_ability,damp,70,85,70,60,70,50,405,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,
260,swampert,water,ground,torrent,No_ability,damp,100,110,90,85,90,60,535,False,False,generation-iii,0.05529,NoUsage,0.03132,NoUsage,NoUsage,NoUsage,NoUsage,1.1864,0.00082,NoUsage,2.01802,0.00015,NoUsage,0.03608,
260,swampert-mega,water,ground,swift-swim,No_ability,None ,100,150,110,95,110,70,635,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1.87823,0.03607,NoUsage,6.84712,0.09012,NoUsage,NoUsage,
261,poochyena,dark,No_type,run-away,quick-feet,rattled,35,55,35,30,30,35,220,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
262,mightyena,dark,No_type,intimidate,quick-feet,moxie,70,90,70,60,60,70,420,False,False,generation-iii,NoUsage,0.00347,1e-05,NoUsage,NoUsage,0.04,0.0067,0.00021,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.04
263,zigzagoon,normal,No_type,pickup,gluttony,quick-feet,38,30,41,30,41,60,240,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
263,zigzagoon-galar,dark,normal,pickup,gluttony,quick-feet,38,30,41,30,41,60,240,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1e-05,NoUsage,
264,linoone,normal,No_type,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00024,0.00548,0.02706,NoUsage,0.01984,0.00561,NoUsage,5e-05,
264,linoone-galar,dark,normal,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.05184,0.0,
265,wurmple,bug,No_type,shield-dust,No_ability,run-away,45,45,35,20,30,20,195,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,3e-05,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
266,silcoon,bug,No_type,shed-skin,No_ability,None ,50,35,55,25,25,15,205,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,
267,beautifly,bug,flying,swarm,No_ability,rivalry,60,70,50,100,50,65,395,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,0.00545,0.0,NoUsage,NoUsage,
268,cascoon,bug,No_type,shed-skin,No_ability,None ,50,35,55,25,25,15,205,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,
269,dustox,bug,poison,shield-dust,No_ability,compound-eyes,60,50,70,50,90,65,385,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
270,lotad,water,grass,swift-swim,rain-dish,own-tempo,40,30,30,40,50,30,220,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,
271,lombre,water,grass,swift-swim,rain-dish,own-tempo,60,50,50,60,70,50,340,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
272,ludicolo,water,grass,swift-swim,rain-dish,own-tempo,80,70,70,90,100,70,480,False,False,generation-iii,0.33429,0.53027,0.06202,NoUsage,0.06,NoUsage,13.85209,7.40971,0.057,NoUsage,0.74184,0.03406,3.35823,0.25851,
273,seedot,grass,No_type,chlorophyll,early-bird,pickpocket,40,40,50,30,30,30,220,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.00051,0.0,
274,nuzleaf,grass,dark,chlorophyll,early-bird,pickpocket,70,70,40,60,40,60,340,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.00051,NoUsage,
275,shiftry,grass,dark,chlorophyll,wind-rider,pickpocket,90,100,60,90,60,80,480,False,False,generation-iii,0.00936,0.91003,0.0761,NoUsage,0.32,0.05,NoUsage,0.06217,0.0,NoUsage,0.26822,0.00053,0.16623,0.12385,0.05
276,taillow,normal,flying,guts,No_ability,scrappy,40,55,30,30,30,85,270,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
277,swellow,normal,flying,guts,No_ability,scrappy,60,85,60,75,50,125,455,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00034,0.09739,0.07618,NoUsage,0.00894,0.0,NoUsage,NoUsage,
278,wingull,water,flying,keen-eye,hydration,rain-dish,40,30,30,55,30,85,270,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.00085,NoUsage,0.0,0.0,0.0,
279,pelipper,water,flying,keen-eye,drizzle,rain-dish,60,50,100,95,70,65,440,False,False,generation-iii,0.12019,5.51125,3.96501,NoUsage,1.06,19.51,0.0,0.0,0.0,3.60249,7.01957,0.00067,3.59859,0.6903,19.51
280,ralts,psychic,fairy,synchronize,trace,telepathy,28,25,25,45,35,40,198,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,0.0,NoUsage,1e-05,0.0,
281,kirlia,psychic,fairy,synchronize,trace,telepathy,38,35,35,65,55,50,278,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.00011,NoUsage,NoUsage,0.0,NoUsage,0.0,NoUsage,
282,gardevoir,psychic,fairy,synchronize,trace,telepathy,68,65,65,125,115,80,518,False,False,generation-iii,0.00658,0.64392,0.03996,NoUsage,NoUsage,0.32,18.89341,0.63776,0.00655,NoUsage,0.52726,0.03603,1.04947,0.01852,0.32
282,gardevoir-mega,psychic,fairy,pixilate,No_ability,None ,68,85,65,165,135,100,618,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,9.8943,1.63052,NoUsage,4.19866,0.24993,NoUsage,NoUsage,
283,surskit,bug,water,swift-swim,No_ability,rain-dish,40,30,32,50,52,65,269,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
284,masquerain,bug,flying,intimidate,No_ability,unnerve,70,60,62,100,82,80,454,False,False,generation-iii,NoUsage,0.01418,0.00334,NoUsage,NoUsage,NoUsage,0.0002,0.00795,0.0,5e-05,0.00545,2e-05,NoUsage,NoUsage,
285,shroomish,grass,No_type,effect-spore,poison-heal,quick-feet,60,40,60,40,60,35,295,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,0.0,2e-05,NoUsage,NoUsage,
286,breloom,grass,fighting,effect-spore,poison-heal,technician,60,130,80,60,60,70,460,False,False,generation-iii,NoUsage,0.70696,0.04988,NoUsage,0.04,0.23,NoUsage,4.18936,1.56279,NoUsage,0.07957,0.12918,NoUsage,NoUsage,0.23
287,slakoth,normal,No_type,truant,No_ability,None ,60,60,60,35,35,30,280,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
288,vigoroth,normal,No_type,vital-spirit,No_ability,None ,80,80,80,55,55,90,440,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.00225,0.06129,NoUsage,0.0,NoUsage,NoUsage,NoUsage,
289,slaking,normal,No_type,truant,No_ability,None ,150,160,100,95,65,100,670,False,False,generation-iii,NoUsage,0.05882,0.02083,NoUsage,0.07,0.29,NoUsage,0.01383,0.00919,NoUsage,0.04556,0.00081,NoUsage,NoUsage,0.29
290,nincada,bug,ground,compound-eyes,No_ability,run-away,31,45,90,30,30,40,266,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,
291,ninjask,bug,flying,speed-boost,No_ability,infiltrator,61,90,45,50,50,160,456,False,False,generation-iii,0.00493,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00012,0.00082,0.00154,NoUsage,0.00033,0.0002,0.013,0.00088,
292,shedinja,bug,ghost,wonder-guard,No_ability,None ,1,90,45,30,30,40,236,False,False,generation-iii,0.65669,NoUsage,NoUsage,3.09,NoUsage,NoUsage,0.00237,0.01099,0.02226,NoUsage,0.16151,3.62517,0.05593,0.10248,
293,whismur,normal,No_type,soundproof,No_ability,rattled,64,51,23,51,23,28,240,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,
294,loudred,normal,No_type,soundproof,No_ability,scrappy,84,71,43,71,43,48,360,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
295,exploud,normal,No_type,soundproof,No_ability,scrappy,104,91,63,91,73,68,490,False,False,generation-iii,0.0006,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.14568,0.17274,0.0,NoUsage,0.01834,0.00436,NoUsage,0.00105,
296,makuhita,fighting,No_type,thick-fat,guts,sheer-force,72,60,30,20,30,25,237,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,
297,hariyama,fighting,No_type,thick-fat,guts,sheer-force,144,120,60,40,60,50,474,False,False,generation-iii,NoUsage,1.18322,0.06518,NoUsage,NoUsage,0.11,0.88671,1.11356,0.00194,2.59914,0.8451,0.00231,NoUsage,NoUsage,0.11
298,azurill,normal,fairy,thick-fat,huge-power,sap-sipper,50,20,40,20,40,20,190,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,
299,nosepass,rock,No_type,sturdy,magnet-pull,sand-force,30,45,135,45,90,30,375,False,False,generation-iii,NoUsage,0.00011,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,
300,skitty,normal,No_type,cute-charm,normalize,wonder-skin,50,45,45,35,35,50,260,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00545,0.0,NoUsage,NoUsage,
301,delcatty,normal,No_type,cute-charm,normalize,wonder-skin,70,65,65,55,55,90,400,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00209,0.00045,0.0,NoUsage,0.00042,0.0,NoUsage,NoUsage,
302,sableye,dark,ghost,keen-eye,stall,prankster,50,75,75,65,65,50,380,False,False,generation-iii,0.9337,2.27836,0.34594,1.18,0.06,0.31,4.05407,3.47631,0.37926,0.58964,0.02807,0.05956,1.11405,0.68033,0.31
302,sableye-mega,dark,ghost,magic-bounce,No_ability,None ,50,85,125,85,115,20,480,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.60104,0.02964,NoUsage,0.06131,0.00114,NoUsage,NoUsage,
303,mawile,steel,fairy,hyper-cutter,intimidate,sheer-force,50,85,85,55,55,50,380,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,21.33688,0.00291,0.0,NoUsage,0.00322,0.0,0.00714,0.001,
303,mawile-mega,steel,fairy,huge-power,No_ability,None ,50,105,125,55,95,50,480,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,3.92274,1.1392,NoUsage,0.16861,0.72794,NoUsage,NoUsage,
304,aron,steel,rock,sturdy,rock-head,heavy-metal,50,70,100,40,40,30,330,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00823,0.04132,0.02671,NoUsage,NoUsage,0.00013,NoUsage,0.0,
305,lairon,steel,rock,sturdy,rock-head,heavy-metal,60,90,140,50,50,40,430,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,3e-05,0.0,NoUsage,NoUsage,0.0,NoUsage,0.0,
306,aggron,steel,rock,sturdy,rock-head,heavy-metal,70,110,180,60,60,50,530,False,False,generation-iii,0.00191,NoUsage,NoUsage,0.08,NoUsage,NoUsage,0.0936,0.04234,0.00659,NoUsage,0.02718,0.0,NoUsage,0.00965,
306,aggron-mega,steel,No_type,filter,No_ability,None ,70,140,230,60,80,50,630,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.06239,0.00035,NoUsage,0.00482,0.00014,NoUsage,NoUsage,
307,meditite,fighting,psychic,pure-power,No_ability,telepathy,30,40,55,40,55,60,280,False,False,generation-iii,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,0.0,8e-05,0.0,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
308,medicham,fighting,psychic,pure-power,No_ability,telepathy,60,60,75,60,75,80,410,False,False,generation-iii,NoUsage,0.13938,0.03728,NoUsage,NoUsage,NoUsage,0.1712,0.00407,0.00222,NoUsage,0.00018,0.0,NoUsage,NoUsage,
308,medicham-mega,fighting,psychic,pure-power,No_ability,None ,60,100,85,80,85,100,510,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.87454,0.0,NoUsage,0.14775,0.41224,NoUsage,NoUsage,
309,electrike,electric,No_type,static,lightning-rod,minus,40,45,40,65,40,65,295,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
310,manectric,electric,No_type,static,lightning-rod,minus,70,75,60,105,60,105,475,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,2.50391,0.10176,0.0132,NoUsage,0.00092,0.00032,0.12906,0.01103,
310,manectric-mega,electric,No_type,intimidate,No_ability,None ,70,75,80,135,80,135,575,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.77297,2.22871,NoUsage,0.19682,0.68993,NoUsage,NoUsage,
311,plusle,electric,No_type,plus,No_ability,lightning-rod,60,50,40,85,75,95,405,False,False,generation-iii,NoUsage,NoUsage,0.00076,NoUsage,NoUsage,NoUsage,5e-05,0.00094,0.0,NoUsage,0.0,0.0,NoUsage,NoUsage,
312,minun,electric,No_type,minus,No_ability,volt-absorb,60,40,50,75,85,95,405,False,False,generation-iii,NoUsage,NoUsage,1e-05,NoUsage,NoUsage,NoUsage,4e-05,0.00041,0.0,NoUsage,0.0,0.0,NoUsage,NoUsage,
